Quote_TR,,Author,Topic
Hedefler başarı fırınındaki yakıttır.,Goals are the fuel in the furnace of achievement.,Brian Tracy,
"Erdem eken, şeref biçer.",Who sows virtue reaps honour.,Leonardo da Vinci,
Konuşmak pirinci pişirmez.,Talk doesn't cook rice.,Chinese proverb,
"Yapabildiğini düşünen, yapabilir.",He is able who thinks he is able.,Buddha,
Plansız bir hedef sadece bir dilektir.,A goal without a plan is just a wish.,Larry Elder,
Başarılı olmak için öncelikle başarabileceğimize inanmalıyız.,"To succeed, we must first believe that we can.",Michael Korda,
"Bir ot, kılık değiştirmiş bir çiçekten başka bir şey değildir.",A weed is no more than a flower in disguise.,James Lowell,
Yap ya da yapma. Deneme yok.,"Do, or do not. There is no try.",Yoda,
Tüm ciddi cesaret içeriden başlar.,All serious daring starts from within.,Harriet Beecher Stowe,
Beklemeyin. Zaman hiçbir zaman tam olarak doğru olmayacak.,Don't wait. The time will never be just right.,Napoleon Hill,
Zaman en bilge danışmandır.,Time is the wisest counsellor of all.,Pericles,
Almadan önce verirsin.,You give before you get.,Napoleon Hill,
Her şeyde değişiklik tatlıdır.,Change in all things is sweet.,Aristotle,
Korktuğunuz şey üstesinden gelmek için eylem gerektiren şeydir.,What you fear is that which requires action to overcome.,Byron Pulsifer,
"İlişkilerde gerçek sihir, başkalarını yargılamanın olmaması anlamına gelir.",Real magic in relationships means an absence of judgement of others.,Wayne Dyer,
Yapma becerisi yapmaktan gelir.,Skill to do comes of doing.,Ralph Emerson,
"Yıllar, günlerin asla bilemeyeceği çok şey öğretir.",The years teach much which the days never know.,Ralph Emerson,
Güvensizliğimiz çok pahalı.,Our distrust is very expensive.,Ralph Emerson,
Herkes yolu biliyor; çok azı gerçekten yürüyor.,All know the way; few actually walk it.,Bodhidharma,
Büyük yetenek mutluluğu uygulamada bulur.,Great talent finds happiness in execution.,Johann Wolfgang von Goethe,
En güçlü iki savaşçı sabır ve zamandır.,The two most powerful warriors are patience and time.,Leo Tolstoy,
Kolayı yöneterek zoru tahmin edin.,Anticipate the difficult by managing the easy.,Lao Tzu,
Kırgın düşüncelerden arınmış olanlar mutlaka huzur bulur.,Those who are free of resentful thoughts surely find peace.,Buddha,
Gökkuşağının oluşması için hem güneş ışığı hem de yağmur gerekir.,It takes both sunshine and rain to make a rainbow.,,
Güzel bir şey asla mükemmel değildir.,A beautiful thing is never perfect.,,
"Hayat harekettir; nefes alırız, yeriz, yürürüz, hareket ederiz!","Life is movement-we breathe, we eat, we walk, we move!",John Pierrakos,
Sınırlarınızı tartışın ve onların sizin olduğundan emin olun.,"Argue for your limitations, and sure enough theyre yours.",Richard Bach,
"Şans, hazırlık fırsatla buluştuğunda ortaya çıkan şeydir.",Luck is what happens when preparation meets opportunity.,Seneca,
Kazanmak için kazanmayı beklemelisiniz.,"In order to win, you must expect to win.",Richard Bach,
Yapabileceğinize inanırsanız yapabilirsiniz!,You can do it if you believe you can!,Napoleon Hill,
"Her yeni gün, hayatınızı değiştirmek için başka bir şanstır.",Every new day is another chance to change your life.,,
"Gülümseyin, nefes alın ve yavaşça ilerleyin.","Smile, breathe, and go slowly.",Thich Nhat Hanh,
Hayal etmekten fazlasını yapın: çalışın.,Do more than dream: work.,William Arthur Ward,
"Bazıları mutluluğun peşinde koşar, bazıları ise onu yaratır.","Some pursue happiness, others create it.",,
"Başı dönen, dünyanın döndüğünü zanneder.",He that is giddy thinks the world turns round.,William Shakespeare,
Yıkılan geçmişle bugünü mahvetmeyin.,Don't ruin the present with the ruined past.,Ellen Gilchrist,
Sessiz olamıyorsan zeki ve düşünceli ol.,If you cannot be silent be brilliant and thoughtful.,Byron Pulsifer,
Dışarıya bakan rüya görür; İçeri bakan uyanır.,"Who looks outside, dreams; who looks inside, awakes.",Carl Jung,
En kısa cevap yapmaktır.,The shortest answer is doing.,Lord Herbert,
Tüm bilgimizin kökeni algılarımızdadır.,All our knowledge has its origins in our perceptions.,Leonardo da Vinci,
Ne kadar sert düşersen o kadar yükseğe sıçrarsın.,"The harder you fall, the higher you bounce.",,
Sezgilerimize güvenmek çoğu zaman bizi felaketten kurtarır.,Trusting our intuition often saves us from disaster.,Anne Wilson Schaef,
Gerçek güçlüdür ve galip gelir.,Truth is powerful and it prevails.,Sojourner Truth,
Sessizlik bilgeliğin etrafını saran bir çittir.,Silence is a fence around wisdom.,German proverb,
En basit şeyler çoğu zaman en gerçek olanlardır.,The simplest things are often the truest.,Richard Bach,
Hiçbir mazeret seni sorumluluğu kabul etmekten kurtaramaz.,No alibi will save you from accepting the responsibility.,Napoleon Hill,
İyi yolculuk etmek varmaktan daha iyidir.,It is better to travel well than to arrive.,Buddha,
Kendinize inanmalısınız.,You have to believe in yourself.,Sun Tzu,
Niyetimiz gerçekliğimizi yaratır.,Our intention creates our reality.,Wayne Dyer,
Sessizlik asla ihanet etmeyen gerçek bir dosttur.,Silence is a true friend who never betrays.,Confucius,
Küçük meşe palamutlarından güçlü meşeler büyür.,From little acorns mighty oaks do grow.,American proverb,
Dalgaları durduramazsınız ama sörf yapmayı öğrenebilirsiniz.,"You can't stop the waves, but you can learn to surf.",Jon Kabat-Zinn,
Gerçeklik ideale uymaz ama onu doğrular.,"Reality does not conform to the ideal, but confirms it.",Gustave Flaubert,
"Gerçekten büyük bir yetenek, mutluluğunu uygulamada bulur.",A really great talent finds its happiness in execution.,Johann Wolfgang von Goethe,
Gerçeklik hayal gücüne çok şey bırakır.,Reality leaves a lot to the imagination.,John Lennon,
Öfkenin en büyük ilacı geciktirmektir.,The greatest remedy for anger is delay.,Seneca,
Büyümenin kendisi mutluluk tohumunu içerir.,Growth itself contains the germ of happiness.,Pearl Buck,
Mantıklı olanı yapabilir veya neyin mümkün olduğuna karar verebilirsiniz.,You can do what's reasonable or you can decide what's possible.,,
Hiçbir şey otoriteyi sessizlik kadar güçlendiremez.,Nothing strengthens authority so much as silence.,Leonardo da Vinci,
"Nereye giderseniz gidin, tüm kalbinizle gidin.","Wherever you go, go with all your heart.",Confucius,
Tek gerçek değerli şey sezgidir.,The only real valuable thing is intuition.,Albert Einstein,
İyi şanslar amaç azminin diğer adıdır.,Good luck is another name for tenacity of purpose.,Ralph Emerson,
Gökkuşakları öfkeli gökyüzü için özür diler.,Rainbows apologize for angry skies.,Sylvia Voirol,
Arkadaşlık büyük bir şey değil. Milyonlarca küçük şey var.,Friendship isn't a big thing. It's a million little things.,,
Bir insanın harcayabileceği en değerli şey zamandır.,Time is the most valuable thing a man can spend.,Theophrastus,
Ne olursa olsun sorumluluğu üstlenin.,"Whatever happens, take responsibility.",Tony Robbins,
Tecrübe sadece hatalarımıza verdiğimiz isimdir.,Experience is simply the name we give our mistakes.,Oscar Wilde,
"Bugün iyi bir plan, yarınki mükemmel bir plandan daha iyidir.",A good plan today is better than a perfect plan tomorrow.,,
Ayakkabı uymuyorsa ayağı değiştirmeli miyiz?,"If the shoe doesn't fit, must we change the foot?",Gloria Steinem,
Düşünmeyi bıraktığımızda çoğu zaman fırsatı kaçırırız.,"While we stop to think, we often miss our opportunity.",Publilius Syrus,
Hayatınıza bir şey katmak için onun zaten orada olduğunu hayal edin.,"To bring anything into your life, imagine that it's already there.",Richard Bach,
"Kendinizi ne kadar tanırsanız, kendinizi o kadar affedersiniz.","The more you know yourself, the more you forgive yourself.",Confucius,
İnanç olmadan hiçbir şey mümkün değildir. Onunla hiçbir şey imkansız değildir.,"Without faith, nothing is possible. With it, nothing is impossible.",Mary Bethune,
Sınırlarımızı kabul ettiğimizde onların ötesine geçeriz.,"Once we accept our limits, we go beyond them.",Albert Einstein,
Sorunlarınız sizi zorlamasın; hayalleriniz tarafından yönlendirileceksiniz.,Don't be pushed by your problems; be led by your dreams.,,
"Güvenle beklediğimiz her şey, kendi kendini gerçekleştiren kehanetimiz haline gelir.",Whatever we expect with confidence becomes our own self-fulfilling prophecy.,Brian Tracy,
Hayal edebileceğiniz her şey gerçektir.,Everything you can imagine is real.,Pablo Picasso,
"Korku, olumsuzlukların geliştiği karanlık bir odadır.",Fear is a darkroom where negatives develop.,Usman Asif,
Özgürlük istediğimiz gibi yaşama hakkıdır.,Freedom is the right to live as we wish.,Epictetus,
"Düşüncelerinizi değiştirin, hayatınız değişsin!","Change your thoughts, change your life!",,
"İçinizden gelen bir hissi asla göz ardı etmeyin, ancak bunun yeterli olduğuna da asla inanmayın.","Never ignore a gut feeling, but never believe that it's enough.",Robert Heller,
Kayıp değişimden başka bir şey değildir ve değişim Doğanın zevkidir.,"Loss is nothing else but change,and change is Natures delight.",Marcus Aurelius,
Birisi ancak sen söylersen özeldir.,Someone is special only if you tell them.,Byron Pulsifer,
"Bugün, dün endişelendiğin yarındır.",Today is the tomorrow you worried about yesterday.,,
"Mutluluğa giden yol yoktur, mutluluk yoldur.","There is no way to happiness, happiness is the way.",Thich Nhat Hanh,
Bir gülümsemenin ardından gün her zaman daha parlak görünür.,The day always looks brighter from behind a smile.,,
Bir tökezleme düşmeyi engelleyebilir.,A stumble may prevent a fall.,,
Daha çok konuşan daha çabuk tükenir.,He who talks more is sooner exhausted.,Lao Tzu,
Gücümüz zayıflıklarımızdan doğar.,Our strength grows out of our weaknesses.,Ralph Waldo Emerson,
"Mutluluk sadece sahip olmakta değil, yapmakta bulunur.","Happiness is found in doing, not merely possessing.",Napoleon Hill,
Geleceğinizi emin ellere bırakın: kendinizin.,Put your future in good hands : your own.,,
Başkalarına nasıl davranacağımıza göre kaderimizi seçeriz.,We choose our destiny in the way we treat others.,Wit,
Çığa düşen hiçbir kar tanesi kendini sorumlu hissetmez.,No snowflake in an avalanche ever feels responsible.,Voltaire,
Şans cesurdan yanadır.,Fortune favours the brave.,Virgil,
"Zihin, uzun süredir öğrendiği şeyleri zorlukla unutur.",The mind unlearns with difficulty what it has long learned.,Seneca,
Yabani otları olmayan hiçbir bahçe yoktur.,No garden is without its weeds.,Thomas Fuller,
Artık denememek dışında başarısızlık yoktur.,There is no failure except in no longer trying.,Elbert Hubbard,
Nazik sözler demir bir kapıyı açar.,Kind words will unlock an iron door.,Turkish proverb,
Sorunlar yalnızca üzerinde dikenler olan fırsatlardır.,Problems are only opportunities with thorns on them.,Hugh Miller,
Hayat sadece bir ruhu büyütmek için bir şanstır.,Life is just a chance to grow a soul.,A. Powell Davies,
Dağlar dolambaçlı yollar dışında aşılamaz.,Mountains cannot be surmounted except by winding paths.,Johann Wolfgang von Goethe,
Gönlümüzün uyanış bahçesi yüzlerce çiçekle açsın.,May our hearts garden of awakening bloom with hundreds of flowers.,Thich Nhat Hanh,
Gençliğinizin hayallerine sadık kalın.,Keep true to the dreams of thy youth.,Friedrich von Schiller,
Denemeyi bırakana kadar asla kaybeden değilsin.,You're never a loser until you quit trying.,Mike Ditka,
Bilmek yeterli değildir; başvurmalıyız!,Knowing is not enough; we must apply!,Johann Wolfgang von Goethe,
Güçlü inançlar güçlü insanları kazanır ve sonra onları daha da güçlü kılar.,"Strong beliefs win strong men, and then make them stronger.",Richard Bach,
"Sonbahar, her yaprağın çiçek olduğu ikinci bahardır.",Autumn is a second spring when every leaf is a flower.,Albert Camus,
Rüzgara teslim olursan binebilirsin.,"If you surrender to the wind, you can ride it.",Toni Morrison,
Kendinizi güneş ışığına tutarsanız gölgeyi göremezsiniz.,Keep yourself to the sunshine and you cannot see the shadow.,Helen Keller,
İlham var ama bizi çalışırken bulması gerekiyor.,"Inspiration exists, but it has to find us working.",Pablo Picasso,
"Önemli olacak kadar büyük, kazanılacak kadar küçük savaşlar seçin.","Pick battles big enough to matter, small enough to win.",Jonathan Kozol,
Kendinizden taviz vermeyin. Sahip olduğun tek şey sensin.,Don't compromise yourself. You are all you've got.,Janis Joplin,
Kısa bir söz çoğu zaman çok fazla bilgelik içerir.,A short saying oft contains much wisdom.,Sophocles,
Zorluklar insana ne olduğunu gösteren şeylerdir.,Difficulties are things that show a person what they are.,Epictetus,
"Gücünüzden şüphe ettiğinizde, şüphenize güç verirsiniz.","When you doubt your power, you give power to your doubt.",Honore de Balzac,
İhtiyatlı bir soru bilgeliğin yarısıdır.,A prudent question is one half of wisdom.,Francis Bacon,
Sezgilerimin yolumu yönlendirmesine izin veriyorum.,I allow my intuition to lead my path.,Manuel Puig,
"Doğa, kullanılmayan her yetiyi elinden alır.",Nature takes away any faculty that is not used.,William R. Inge,
"Refahın yolu yoktur, refah yoldur.","There is no way to prosperity, prosperity is the way.",Wayne Dyer,
"Bir konuyu yarısını bilmektense, onun hakkında cahil olmak daha iyidir.",Better be ignorant of a matter than half know it.,Publilius Syrus,
İçgüdülerinizi takip edin. Gerçek bilgeliğin kendini gösterdiği yer burasıdır.,Follow your instincts. That is where true wisdom manifests itself.,Oprah Winfrey,
Harika şeyler başarmak için eyleme geçmenin yanı sıra hayal de kurmalıyız.,"To accomplish great things, we must dream as well as act.",Anatole France,
Akıl her şeydir. Neye dönüştüğünü düşünüyorsun.,The mind is everything. What you think you become.,Buddha,
Hayattan keyif almak için onun çoğuna hafifçe dokunmalıyız.,"To enjoy life, we must touch much of it lightly.",Voltaire,
Uçmak için dirence ihtiyacımız var.,"To fly, we have to have resistance.",Maya Lin,
Ne gördüğünüz ne aradığınıza bağlıdır.,What you see depends on what you're looking for.,,
Düşüncenizde olduğu gibi eyleminizde de harika olun.,"Be great in act, as you have been in thought.",William Shakespeare,
Nazik sözlerin maliyeti çok fazla değildir. Yine de çok şey başarıyorlar.,Kind words do not cost much. Yet they accomplish much.,Blaise Pascal,
Boşa harcanan zamandan daha büyük bir zarar yoktur.,There is no greater harm than that of time wasted.,Michelangelo,
"Sezgi, düşünen zihne bundan sonra nereye bakacağını söyleyecektir.",Intuition will tell the thinking mind where to look next.,Jonas Salk,
"Endişe, küçük bir şeye büyük bir gölge verir.",Worry gives a small thing a big shadow.,,
Korkular bir ruh halinden başka bir şey değildir.,Fears are nothing more than a state of mind.,Napoleon Hill,
Verimlilik işleri doğru yapmaktır; etkililik doğru şeyleri yapmaktır.,Efficiency is doing things right; effectiveness is doing the right things.,Peter Drucker,
Hiç sönmeyen ateşle yan.,Blaze with the fire that is never extinguished.,Luisa Sigea,
Ağlama çünkü bitti. Gülümse çünkü bu oldu.,Don't cry because it's over. Smile because it happened.,Dr. Seuss,
Hayır yapmak daha kolaydır. Evet demek daha kolaydır.,No is easier to do. Yes is easier to say.,Jason Fried,
"Sen hatırlamaya devam etmediğin sürece, yanılmış olmak hiçbir şey değildir.",To be wrong is nothing unless you continue to remember it.,Confucius,
"Susmak sonsuzluk kadar derin, söz ise zaman kadar sığdır.","Silence is deep as Eternity, Speech is shallow as Time.",Carlyle,
Birbirinizi boğmayın. Kimse gölgede büyüyemez.,Don't smother each other. No one can grow in the shade.,Leo F. Buscaglia,
"Hareket halindeki bir karınca, uyuklayan bir öküzden daha fazlasını yapar.",An ant on the move does more than a dozing ox.,Lao Tzu,
Sıkılmış yumrukla el sıkışamazsınız.,You can't shake hands with a clenched fist.,Indira Gandhi,
"İyi bir karar bilgiye dayanır, sayılara değil.",A good decision is based on knowledge and not on numbers.,Plato,
Tedbirli olanlar nadiren hata yapar.,The cautious seldom err.,Confucius,
Mücadele olmazsa ilerleme olmaz.,"If there is no struggle, there is no progress.",Frederick Douglass,
Harcamaktan keyif aldığınız zaman boşa gitmemiştir.,"Time you enjoy wasting, was not wasted.",John Lennon,
Her sorunun elinde sizin için bir hediye vardır.,Every problem has a gift for you in its hands.,Richard Bach,
Hüzün zamanın kanatlarında uçup gider.,Sadness flies away on the wings of time.,Jean de la Fontaine,
"Çoğu zaman konuşmamdan pişmanlık duydum, sessizliğimden asla.","I have often regretted my speech, never my silence.",Publilius Syrus,
Bir insan elinden gelenin en iyisini yaparsa başka ne olur?,"If a man does his best, what else is there?",George Patton,
"Hayat bir ilerlemedir, bir istasyon değil.","Life is a progress, and not a station.",Ralph Emerson,
Mutluluğu içinde taşıyan insan için her mevsim güzeldir.,All seasons are beautiful for the person who carries happiness within.,Horace Friess,
"Eleştiriden kaçınmak için hiçbir şey yapmayın, hiçbir şey söylemeyin, hiçbir şey olmayın.","To avoid criticism, do nothing, say nothing, be nothing.",Elbert Hubbard,
Her şey değişir; hiçbir şey yok olmaz.,All things change; nothing perishes.,Ovid,
Yokluk kalbin daha da büyümesini sağlar.,Absence makes the heart grow fonder.,Haynes Bayly,
Hayal gücü bir insanın uçurabileceği en yüksek uçurtmadır.,Imagination is the highest kite one can fly.,Lauren Bacall,
Bilginin başlangıcı anlamadığımız bir şeyin keşfidir.,The beginning of knowledge is the discovery of something we do not understand.,Frank Herbert,
"Sevgi dünyayı döndürmez, sevgi yolculuğu değerli kılan şeydir.","Love doesn't make the world go round, love is what makes the ride worthwhile.",Elizabeth Browning,
"İmkansızı elediğinizde, ne kadar olasılık dışı olursa olsun, geriye kalan şey gerçek olmalıdır.","Whenever you have eliminated the impossible, whatever remains, however improbable, must be the truth.",Arthur Conan Doyle,
İyi kereste kolaylıkla büyümez; Rüzgar ne kadar güçlü olursa ağaçlar da o kadar güçlü olur.,"Good timber does not grow with ease; the stronger the wind, the stronger the trees.",J. Willard Marriott,
Rüzgarlar ve dalgalar her zaman en yetenekli denizcilerin yanındadır.,The winds and waves are always on the side of the ablest navigators.,Edward Gibbon,
"Hiç sahip olmadığın bir şeye sahip olmak için, hiç yapmadığın bir şeyi yapmalısın.","To get something you never had, you have to do something you never did.",,
Bir şeyi bilmediğiniz zaman şükredin çünkü o size öğrenme fırsatı verir.,Be thankful when you don't know something for it gives you the opportunity to learn.,,
"Karşılaştığınız her talihsizlik, yarının iyi şanslarının tohumunu içinde taşıyacaktır.",Each misfortune you encounter will carry in it the seed of tomorrows good luck.,Og Mandino,
"Affetmek, bir mahkumu serbest bırakmak ve o mahkumun kendiniz olduğunu anlamaktır.",To forgive is to set a prisoner free and realize that prisoner was you.,Lewis B. Smedes,
"Dünyanın en büyük sefaleti ayrılıkta, dünyanın gerçek gücü şefkatte yatıyor.","In separateness lies the world's great misery, in compassion lies the world's true strength.",Buddha,
Henüz var olmayan bir şeye tutkuyla inanarak onu yaratırız.,"By believing passionately in something that does not yet exist, we create it.",Nikos Kazantzakis,
Bırakmak dünyanın sonu değil; yeni bir hayatın başlangıcıdır.,Letting go isn't the end of the world; it's the beginning of a new life.,,
Düzensiz olmanın avantajlarından biri de kişinin sürekli heyecan verici keşifler yapmasıdır.,One of the advantages of being disorderly is that one is constantly making exciting discoveries.,A. A. Milne,
Bir an önce yaşamaya başlayın ve her günü ayrı bir hayat olarak sayın.,Begin at once to live and count each separate day as a separate life.,Seneca,
Nereye gittiğinizi bilmiyorsanız muhtemelen başka bir yere varırsınız.,"If you don't know where you are going, you will probably end up somewhere else.",Lawrence Peter,
Öğrendiklerimizi takdir etmek için her şeyi bilmek o kadar önemli değil.,It is not so important to know everything as to appreciate what we learn.,Hannah More,
Hangi limana gidildiğini bilmeyen kişi hiçbir rüzgarın işine yaramaz.,"If one does not know to which port is sailing, no wind is favorable.",Seneca,
"En büyük zaferimiz asla başarısız olmamak değil, her düştüğümüzde ayağa kalkmaktır.",Our greatest glory is not in never failing but rising everytime we fall.,,
Haklı olmak fazlasıyla abartılıyor. Durmuş saat bile günde iki kez doğruyu gösterir.,Being right is highly overrated. Even a stopped clock is right twice a day.,,
"Sahip olmadığın şeye üzülmek, sahip olduklarını israf etmektir.",To be upset over what you don't have is to waste what you do have.,Ken S. Keyes,
"Yapabildiğimiz şeyleri yapsaydık, kendimizi hayrete düşürürdük.","If we did the things we are capable of, we would astound ourselves.",Thomas Edison,
Hayatta korkulacak hiçbir şey yok. Sadece anlaşılması gerekiyor.,Nothing in life is to be feared. It is only to be understood.,Marie Curie,
Başarılı insanlar daha iyi sorular sorar ve bunun sonucunda da daha iyi yanıtlar alırlar.,"Successful people ask better questions, and as a result, they get better answers.",Tony Robbins,
Hayat bir süreçtir. Biz bir süreciz. Evren bir süreçtir.,Life is a process. We are a process. The universe is a process.,Anne Schaef,
"Söylediklerimizi, konuşmamızı dinleyenlerden öğreniyoruz.",We learn what we have said from those who listen to our speaking.,Kenneth Patton,
"Düştüğünüzden bir kez daha kalkarsanız, başaracaksınız.","If you get up one more time than you fall, you will make it through.",,
Her gün açıp kapattığımız kapılar yaşadığımız hayatları belirler.,The doors we open and close each day decide the lives we live.,Flora Whittemore,
"Dünyadaki en kötü müflis, heyecanını kaybetmiş insandır.",The worst bankrupt in the world is the person who has lost his enthusiasm.,H. W. Arnold,
"Mutluluk, çalışmanız ve sözleriniz kendinize ve başkalarına faydalı olduğunda gelir.",Happiness comes when your work and words are of benefit to yourself and others.,Buddha,
"Doğru kararı vermeye odaklanmayın, kararı doğru vermeye odaklanın.","Don't focus on making the right decision, focus on making the decision the right one.",,
"Evrende her şey mükemmeldir, hatta onu geliştirme arzunuz bile.","Everything is perfect in the universe, even your desire to improve it.",Wayne Dyer,
Evren sabırla zekamızın daha da keskinleşmesini bekleyen büyülü şeylerle doludur.,"The universe is full of magical things, patiently waiting for our wits to grow sharper.",Eden Phillpotts,
Uzun zamandır beklenen bir şey nihayet geldiğinde beklenmedik bir hal alır.,A thing long expected takes the form of the unexpected when at last it comes.,Mark Twain,
Başarısızlığa inanmıyorum. Süreçten keyif aldıysanız bu başarısızlık değildir.,I don't believe in failure. It is not failure if you enjoyed the process.,Oprah Winfrey,
"Birisi için bir lamba yakarsanız, bu sizin de yolunuzu aydınlatacaktır.","If you light a lamp for somebody, it will also brighten your path.",Buddha,
Bizi yeni ufuklara ulaştıran hayat yağmuruna şükredin.,Give thanks for the rain of life that propels us to reach new horizons.,Byron Pulsifer,
Hepimizin sorunları var. Bizi farklı kılan bunları çözme şeklimizdir.,We all have problems. The way we solve them is what makes us different.,,
Elbise ancak zihin ve karakter uykudayken görülebiliyor.,It is only when the mind and character slumber that the dress can be seen.,Ralph Waldo Emerson,
Bir şeyden hoşlanmıyorsanız değiştirin. Eğer değiştiremiyorsanız tavrınızı değiştirin.,"If you don't like something, change it. If you can't change it, change your attitude.",Maya Angelou,
Dünya bir kitaptır ve seyahat etmeyenler sadece bir sayfasını okur.,"The world is a book, and those who do not travel read only a page.",Augustinus Sanctus,
İnsan kendini yenileme yeteneğine sahip olduğu sürece yaşayan bir varlıktır.,So long as a person is capable of self-renewal they are a living being.,Henri-Frederic Amiel,
Fırtınalardan korkmuyorum çünkü gemimi nasıl kullanacağımı öğreniyorum.,"I'm not afraid of storms, for Im learning how to sail my ship.",Louisa Alcott,
Kendiniz düşünün ve başkalarının da bunu yapma ayrıcalığından yararlanmasına izin verin.,Think for yourselves and let others enjoy the privilege to do so too.,Voltaire,
Günlerimizi nasıl geçirirsek elbette hayatımızı da öyle geçiririz.,"How we spend our days is, of course, how we spend our lives.",Annie Dillard,
"Hayallerimi kaydetmek hiçbir zaman amacım olmadı, sadece onları gerçekleştirmek.","It has never been my object to record my dreams, just to realize them.",Man Ray,
Düşüncenin en karmaşık başarıları bilincin yardımı olmadan mümkündür.,The most complicated achievements of thought are possible without the assistance of consciousness.,Sigmund Freud,
Yapabileceğini düşünüyorsan yapabilirsin. Ve eğer yapamayacağınızı düşünüyorsanız haklısınız.,"If you think you can, you can. And if you think you can't, you're right.",Henry Ford,
Hiç sevmemektense sevip kaybetmek daha iyidir.,"Better to have loved and lost, than to have never loved at all.",St. Augustine,
Herkes dünyayı değiştirmeyi düşünüyor ama kimse kendini değiştirmeyi düşünmüyor.,"Everyone thinks of changing the world, but no one thinks of changing himself.",Leo Tolstoy,
"Güzel bir anın bedelini ödemenin en iyi yolu, onun tadını çıkarmaktır.",The best way to pay for a lovely moment is to enjoy it.,Richard Bach,
"Yavaşlayın, kovaladığınız her şey gelip sizi yakalayacaktır.",Slow down and everything you are chasing will come around and catch you.,John De Paola,
En büyük düşmanınız size kendi kontrolsüz düşünceleriniz kadar zarar veremez.,Your worst enemy cannot harm you as much as your own unguarded thoughts.,Buddha,
Her zaman birisi olmak istemiştim ama daha spesifik olmalıydım.,"I always wanted to be somebody, but I should have been more specific.",Lily Tomlin,
"Evet hepimiz ay, yıldızlar ve güneş gibi parlıyoruz.","Yeah we all shine on, like the moon, and the stars, and the sun.",John Lennon,
Hayat bisiklete binmek gibidir. Dengenizi korumak için hareket etmeye devam etmelisiniz.,Life is like riding a bicycle. To keep your balance you must keep moving.,Albert Einstein,
İçimizdeki ruhu yeniden canlandıran insanlara hepimiz minnettar olmalıyız.,We should all be thankful for those people who rekindle the inner spirit.,Albert Schweitzer,
"Duygu ve özlem, tüm insan çabalarının ve insan yaratımlarının ardındaki itici güçlerdir.",Feeling and longing are the motive forces behind all human endeavor and human creations.,Albert Einstein,
Sonuçta çalışmalarımızdan yalnızca pratikte uyguladığımız şeyleri koruyoruz.,In the end we retain from our studies only that which we practically apply.,Johann Wolfgang von Goethe,
"Eğer zihninizi düzeltirseniz, hayatınızın geri kalanı yerli yerine oturacaktır.","If you correct your mind, the rest of your life will fall into place.",Lao Tzu,
"Arzularınız yeterince güçlü olduğunda, başarabileceğiniz insanüstü güçlere sahipmiş gibi görüneceksiniz.",When your desires are strong enough you will appear to possess superhuman powers to achieve.,Napoleon Hill,
"Gerilim, olmanız gerektiğini düşündüğünüz kişidir. Gevşeme sizin kim olduğunuzdur.",Tension is who you think you should be. Relaxation is who you are.,Chinese proverb,
Asla başınızı eğmeyin. Daima yüksekte tutun. Dünyanın gözünün içine bakın.,Never bend your head. Always hold it high. Look the world right in the eye.,Helen Keller,
"Engelleri aşarak güç kazanan, zorlukların üstesinden gelebilecek tek güce sahiptir.",One who gains strength by overcoming obstacles possesses the only strength which can overcome adversity.,Albert Schweitzer,
Her şeyi bir anda yapamayız ama bir şeyi bir anda yapabiliriz.,"We cannot do everything at once, but we can do something at once.",Calvin Coolidge,
"Dünyanızı icat edin. Kendinizi, sizi besleyen insanlarla, renklerle, seslerle ve işlerle kuşatın.","Invent your world. Surround yourself with people, color, sounds, and work that nourish you.",,
"Ne isen o ol. Bu, olduğunuzdan daha iyi olma yolunda ilk adımdır.",Be what you are. This is the first step toward becoming better than you are.,Julius Charles Hare,
Bir tırtılın kelebek olacağını söyleyen hiçbir şey yoktur.,There is nothing in a caterpillar that tells you it's going to be a butterfly.,Buckminster Fuller,
"Sevgi ve şefkat kendi iç yaşamımızı açar, stresi, güvensizliği ve yalnızlığı azaltır.","Love and compassion open our own inner life, reducing stress, distrust and loneliness.",Dalai Lama,
"İdealler, mümkün olanın içinde arzu edilenin yaratıcı bir şekilde anlaşılmasıdır.",Ideals are an imaginative understanding of that which is desirable in that which is possible.,Walter Lippmann,
Bir şeyi düşünmeye çok fazla zaman ayırırsanız onu asla tamamlayamazsınız.,"If you spend too much time thinking about a thing, you'll never get it done.",Bruce Lee,
Yol gökyüzünde değil. Yol kalptedir.,The way is not in the sky. The way is in the heart.,Buddha,
Çoğu zaman öfke aslında güçlülüğün değil zayıflığın göstergesidir.,"More often than not, anger is actually an indication of weakness rather than of strength.",Dalai Lama,
"Siz kendiniz, tüm evrendeki herkes kadar sevginizi ve şefkatinizi hak ediyorsunuz.","You, yourself, as much as anybody in the entire universe, deserve your love and affection.",Buddha,
İnsanların tüm hayatlarını yaşamaya başlamayı bekleyerek geçirmeleri alışılmadık bir durum değildir.,It is not uncommon for people to spend their whole life waiting to start living.,Eckhart Tolle,
Riske girmekten korkmayın. Meyvenin olduğu yer orası.,Don't be afraid to go out on a limb. That's where the fruit is.,H. Jackson Browne,
"Kötü insanlar, iyi olanlarda yetenek bulduklarında her zaman şaşırırlar.",Wicked people are always surprised to find ability in those that are good.,Marquis Vauvenargues,
"Hayat öyle kurgulanmıştır ki, bir olay beklentiyi karşılamaz, karşılamaz, karşılamayacaktır.","Life is so constructed that an event does not, cannot, will not, match the expectation.",Charlotte Bronte,
